id,value
id_0,23.67845705223607
id_1,48.709901653585604
id_2,18.070982020627177
id_3,24.758071747586502
id_4,11.187329543724543
id_5,26.345009904042094
id_6,32.771940453085676
id_7,14.592451749945809
id_8,38.78450618559814
id_9,28.299433127735142
id_10,32.84001967277306
id_11,47.74364973363877
id_12,33.27405191628676
id_13,29.837072721838858
id_14,24.98658931236656
id_15,12.34761707868917
id_16,44.61410913957269
id_17,19.081434072845703
id_18,15.550656785807018
id_19,16.490590537990013
id_20,14.061424017753327
id_21,21.8653759593414
id_22,32.2037766459045
id_23,10.891129657552279
id_24,48.262375728203565
id_25,36.605714569047926
id_26,24.926953479714133
id_27,9.760528462376785
id_28,24.893845669045547
id_29,30.105107131384685
id_30,15.431449688353442
id_31,12.112606873125493
id_32,14.326577824050123
id_33,8.429361077585856
id_34,16.319591465704992
id_35,33.773204352385534
id_36,19.67564898465453
id_37,25.622243772492723
id_38,6.161403305159103
id_39,48.7295388959456
id_40,35.86817455558102
id_41,17.80010594343457
id_42,41.07212509690896
id_43,17.14505570882009
id_44,35.16272094555362
id_45,43.04298429118127
id_46,52.58179667521915
id_47,33.01939811293832
id_48,40.41524799680289
id_49,34.30255090980844
id_50,26.877546122175964
id_51,20.48596407858455
id_52,38.53231925497489
id_53,23.608864364236858
id_54,31.5042309235757
id_55,32.90743469854603
id_56,22.59900291295272
id_57,18.60738116494825
id_58,32.773427451460364
id_59,28.012170585428564
id_60,12.44212971850545
id_61,22.752513154765996
id_62,25.966428050551187
id_63,42.53311423842367
id_64,40.73146181821336
id_65,23.896721499287974
id_66,34.27871132850805
id_67,44.79547989684784
id_68,24.45102840186475
id_69,34.616595581947195
id_70,52.54505606369476
id_71,44.57825960671617
id_72,36.59484594442534
id_73,11.194332872059032
id_74,11.905374949715926
id_75,30.415072963209223
id_76,49.296476677092826
id_77,5.442033483676738
id_78,40.587763229465516
id_79,33.58542132856333
id_80,7.813387137195129
id_81,18.259901394411223
id_82,9.304973798634258
id_83,31.23005078430012
id_84,9.942649769327359
id_85,5.463640919948272
id_86,15.600968120082811
id_87,10.349396431331854
id_88,11.49821636342278
id_89,20.835109025570347
id_90,24.73226096480588
id_91,10.954804376423894
id_92,11.856596084432313
id_93,10.49413531882616
id_94,29.1418211521226
id_95,13.890845248982073
id_96,13.925229370046326
id_97,7.854117248004151
id_98,10.60810115353803
id_99,5.605860736781839
id_100,12.448231172281938
id_101,15.925176522796328
id_102,9.894889609477739
id_103,5.869408309714373
id_104,14.622320955094256
id_105,29.019411683513333
id_106,21.54483871157888
id_107,9.82546095655178
id_108,17.191788523829334
id_109,17.126205033995625
id_110,11.150602773989334
id_111,13.769638230219767
id_112,12.651759931070087
id_113,22.675945737016267
id_114,21.65910864757518
id_115,13.221496526175839
id_116,13.37685333488605
id_117,33.69018112572364
id_118,25.482087810722838
id_119,3.874391385080873
id_120,4.576637368136627
id_121,12.368692761099373
id_122,14.621140626139958
id_123,13.9756158013062
id_124,5.983740154143884
id_125,23.301877102719114
id_126,21.479436760296437
id_127,12.442311305825362
id_128,16.758081670680063
id_129,14.855922552967701
id_130,5.436231544487693
id_131,29.852107149517657
id_132,15.42024590324079
id_133,29.068219780011574
id_134,21.274758444305732
id_135,19.643847577282347
id_136,11.601607072385676
id_137,19.028414844648676
id_138,60.70730616701769
id_139,54.42083690212361
id_140,25.26515337370845
id_141,15.660818604543724
id_142,21.94068520576461
id_143,8.426124525998562
id_144,15.381245831368684
id_145,10.593297082351842
id_146,19.661601705971826
id_147,7.9564343572499645
id_148,12.012223480412912
id_149,15.321964010573229
id_150,39.58246011957524
id_151,15.039012755652266
id_152,20.17451431695802
id_153,13.314690726738094
id_154,15.406014951842149
id_155,23.815012765842653
id_156,15.808109853599653
id_157,28.55027809928396
id_158,4.419069402643011
id_159,15.52130769733531
id_160,33.41562712900404
id_161,16.459627485765743
id_162,40.69910501844396
id_163,17.65552353668033
id_164,31.920531925552407
id_165,22.794597717053072
id_166,16.580357326619414
id_167,3.483186735866198
id_168,54.40857047918686
id_169,16.36002628809092
id_170,16.87154750252068
